ecmdb_id,name,kegg_id,bigg_id,conc_mM,raw_conc,condition,ref
ECMDB22451,CL(16:1(9Z)/17:0cycw7c/14:0/16:1(9Z)),,,4.7010000000000006e-05,0.04701± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22454,CL(16:1(9Z)/17:0cycw7c/14:0/17:0cycw7c),,,3.696e-05,0.03696± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22467,CL(16:1(9Z)/14:0/16:1(9Z)/14:0),,,6.441e-05,0.06441± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22468,CL(16:1(9Z)/14:0/18:1(9Z)/18:1(9Z)),,,5.201e-05,0.05201± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22471,CL(16:1(9Z)/14:0/18:1(9Z)/14:0),,,5.028e-05,0.05028± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22473,CL(16:1(9Z)/14:0/19:0cycv8c/19:0cycv8c),,,5.457e-05,0.05457± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22475,CL(16:1(9Z)/14:0/19:0cycv8c/14:0),,,3.562e-05,0.03562± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22478,CL(16:1(9Z)/14:0/17:0cycw7c/17:0cycw7c),,,3.696e-05,0.03696± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22480,CL(16:1(9Z)/14:0/14:0/16:1(9Z)),,,6.441e-05,0.06441± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22481,CL(16:1(9Z)/14:0/14:0/18:1(9Z)),,,5.028e-05,0.05028± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22482,CL(16:1(9Z)/14:0/14:0/19:0cycv8c),,,3.562e-05,0.03562± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22486,CL(18:1(9Z)/15:0cyclo/15:0cyclo/19:0cycv8c),,,4.1439999999999996e-05,0.04144± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22487,CL(18:1(9Z)/15:0cyclo/15:0cyclo/17:0cycw7c),,,3.637e-05,0.03637± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22488,CL(18:1(9Z)/15:0cyclo/15:0cyclo/14:0),,,3.935e-05,0.03935± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22489,CL(18:1(9Z)/15:0cyclo/16:0/18:1(9Z)),,,3.6429999999999995e-05,0.03643± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
